Camera Owner,Camera Description,Image URL,Web URL,Location
SDOT,Airport Way S & S Norfolk St,http://www.seattle.gov/trafficcams/images/Airport_Norfolk.jpg,,"(47.51369, -122.28819)"
SDOT,Rainier Ave S & S Henderson St,http://www.seattle.gov/trafficcams/images/Rainier_Henderson.jpg,http://www.seattle.gov/trafficcams/rainier_henderson.htm,"(47.52345, -122.26989)"
SDOT,14th Ave S & S Cloverdale St,http://www.seattle.gov/trafficcams/images/14_Cloverdale.jpg,,"(47.5264, -122.31476)"
SDOT,Fauntleroy SW & SW Cloverdale St,http://www.seattle.gov/trafficcams/images/Fauntleroy_Cloverdale.jpg,,"(47.52671, -122.39281)"
SDOT,E Marginal Way S & 16th Ave S,http://www.seattle.gov/trafficcams/images/EMarg_16.jpg,,"(47.53436, -122.31321)"
WSDOT,SR-99 @ West Marginal Way,http://images.wsdot.wa.gov/nw/099vc02671.jpg,http://www.seattle.gov/trafficcams/sr99_westmarginal.htm,"(47.5365, -122.33367)"
SDOT,MLK Way S & S Othello St - NS,http://www.seattle.gov/trafficcams/images/MLK_Othello.jpg,http://www.seattle.gov/trafficcams/mlk_othello.htm,"(47.53689, -122.28111)"
SDOT,MLK Way S & S Othello St - EW,http://www.seattle.gov/trafficcams/images/Othello_MLK.jpg,http://www.seattle.gov/trafficcams/othello_mlk.htm,"(47.53709, -122.28057)"
SDOT,Airport Way S & S Othello St,http://www.seattle.gov/trafficcams/images/Airport_Othello.jpg,http://www.seattle.gov/trafficcams/airport_othello.htm,"(47.53744, -122.3022)"
WSDOT,I-5 @ Mid Boeing Field,http://images.wsdot.wa.gov/nw/005vc15970.jpg,http://www.seattle.gov/trafficcams/i5_boeing.htm,"(47.53815, -122.30024)"
SDOT,E Marginal Way S & S Michigan St,http://www.seattle.gov/trafficcams/images/EMarg_Mich.jpg,,"(47.545, -122.33137)"
SDOT,4th Ave S & S Michigan St,http://www.seattle.gov/trafficcams/images/4_Michigan.jpg,http://www.seattle.gov/trafficcams/4th_Michigan.htm,"(47.54544, -122.32968)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,"(47.54612, -122.33409)"
SDOT,Corson Ave S & S Bailey St,http://www.seattle.gov/trafficcams/images/Corson_Bailey.jpg,,"(47.54742, -122.3213)"
SDOT,1st Ave S & E Marginal Way,http://www.seattle.gov/trafficcams/images/1_EMarg.jpg,http://www.seattle.gov/trafficcams/1st_Marginal.htm,"(47.54833, -122.33421)"
WSDOT,I-5 @ S Albro St,http://images.wsdot.wa.gov/nw/005vc16123.jpg,http://www.seattle.gov/trafficcams/i5_albro.htm,"(47.54856, -122.31173)"
SDOT,Rainier Ave S & S Hudson St,http://www.seattle.gov/trafficcams/images/Rainier_Hudson.jpg,,"(47.55696, -122.28468)"
SDOT,E Marginal Way S & S Hudson St,http://www.seattle.gov/trafficcams/images/EMarg_Hudson.jpg,http://www.seattle.gov/trafficcams/Marginal_Hudson.htm,"(47.55746, -122.33923)"
SDOT,MLK Way S & S Alaska St - EW,http://www.seattle.gov/trafficcams/images/Alaska_MLK.jpg,http://www.seattle.gov/trafficcams/Alaska_MLK.htm,"(47.56083, -122.2926)"
SDOT,California Ave SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/California_Alaska.jpg,,"(47.56097, -122.3869)"
SDOT,42nd Ave SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/Alaska_42.jpg,,"(47.56099, -122.38532)"
SDOT,Fauntleroy Way SW & SW Alaska St,http://www.seattle.gov/trafficcams/images/Fauntleroy_Alaska.jpg,http://www.seattle.gov/trafficcams/fauntleroy_alaska.htm,"(47.56119, -122.38128)"
SDOT,E Marginal Way S & S Idaho St,http://www.seattle.gov/trafficcams/images/EMarg_Idaho.jpg,,"(47.56432, -122.33953)"
SDOT,35th Ave SW & SW Fauntleroy,http://www.seattle.gov/trafficcams/images/35_Fauntleroy.jpg,http://www.seattle.gov/trafficcams/35th_fauntleroy.htm,"(47.56494, -122.3761)"
SDOT,Airport Way S & S Industrial Way,http://www.seattle.gov/trafficcams/images/Airport_Industrial.jpg,,"(47.56494, -122.32287)"
SDOT,West Seattle Fwy Pullout,http://www.seattle.gov/trafficcams/images/WS_Bridge_Fauntleroy.jpg,,"(47.56978, -122.37297)"
SDOT,W Seattle Bridge Mid,http://www.seattle.gov/trafficcams/images/WS_Bridgedeck_East.jpg,http://www.seattle.gov/trafficcams/WSB_Mid-span.htm,"(47.57088, -122.34991)"
SDOT,W Seattle Bridge West,http://www.seattle.gov/trafficcams/images/WS_Bridge_West.jpg,http://www.seattle.gov/trafficcams/WSB_Delridge.htm,"(47.57118, -122.35652)"
SDOT,6th Ave S & S Spokane St,http://www.seattle.gov/trafficcams/images/6_Spokane.jpg,http://www.seattle.gov/trafficcams/6th_Spokane.htm,"(47.57125, -122.32593)"
SDOT,11th Ave SW & SW Spokane St,http://www.seattle.gov/trafficcams/images/11_Spokane.jpg,http://www.seattle.gov/trafficcams/11th_spokane.htm,"(47.57161, -122.3491)"
SDOT,Chelan Ave SW & W Marginal Way SW,http://www.seattle.gov/trafficcams/images/Chelan_St_East.jpg,http://www.seattle.gov/trafficcams/Marginal_Chelan.htm,"(47.57209, -122.36021)"
WSDOT,I-5 @ S Spokane St,http://images.wsdot.wa.gov/nw/005vc16297.jpg,http://www.seattle.gov/trafficcams/i5_spokane.htm,"(47.57278, -122.31949)"
SDOT,E Marginal Way S & S Hanford St,http://www.seattle.gov/trafficcams/images/EMarg_Hanford.jpg,,"(47.57576, -122.33994)"
SDOT,SR99 & Lander St,http://www.seattle.gov/trafficcams/images/SR99_Lander.jpg,,"(47.57975, -122.33951)"
SDOT,3rd Ave S & S Lander St,http://www.seattle.gov/trafficcams/images/3_Lander.jpg,http://www.seattle.gov/trafficcams/3rd_Lander.htm,"(47.57985, -122.33064)"
SDOT,Airport Way S & S Lander St,http://www.seattle.gov/trafficcams/images/Airport_Lander.jpg,,"(47.57991, -122.3213)"
WSDOT,I-5 @ S Holgate St,http://images.wsdot.wa.gov/nw/005vc16396.jpg,http://www.seattle.gov/trafficcams/i5_holgate.htm,"(47.5861, -122.32322)"
SDOT,1st Ave S & S Holgate St,http://www.seattle.gov/trafficcams/images/1_Holgate.jpg,http://www.seattle.gov/trafficcams/1st_Holgate.htm,"(47.58621, -122.33436)"
WSDOT,I-90 Midspan,http://images.wsdot.wa.gov/nw/090vc00508.jpg,http://www.seattle.gov/trafficcams/i90_midspan.htm,"(47.58989, -122.27021)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,"(47.59014, -122.29969)"
SDOT,1st Ave S & S Atlantic St,http://www.seattle.gov/trafficcams/images/1_Atlantic.jpg,,"(47.59014, -122.33405)"
WSDOT,I-90 @ 18th Ave S,http://images.wsdot.wa.gov/nw/090vc00318.jpg,http://www.seattle.gov/trafficcams/i90_18th.htm,"(47.59024, -122.28579)"
SDOT,4th Ave S & S Atlantic St,http://www.seattle.gov/trafficcams/images/4th_Atlantic.jpg,http://www.seattle.gov/trafficcams/4th_atlantic.htm,"(47.59034, -122.32844)"
SDOT,1st Ave S & S Royal Brougham Way,http://www.seattle.gov/trafficcams/images/1_RoyalBrougham.jpg,http://www.seattle.gov/trafficcams/royal_safeco.htm,"(47.59226, -122.33438)"
SDOT,4th Ave S @ I-90 TD,http://www.seattle.gov/trafficcams/images/4thave_i90.jpg,http://www.seattle.gov/trafficcams/4thave_i90.htm,"(47.59341, -122.32924)"
WSDOT,I-5 @ I-90 Interchange,http://images.wsdot.wa.gov/nw/090vc00245.jpg,http://www.seattle.gov/trafficcams/i5_i90.htm,"(47.59365, -122.32036)"
SDOT,Rainier Ave S & S Dearborn St,http://www.seattle.gov/trafficcams/images/Rainier_Dearborn.jpg,,"(47.59577, -122.31155)"
SDOT,5th Ave S & S Dearborn St,http://www.seattle.gov/trafficcams/images/5_Dearborn.jpg,,"(47.59587, -122.32779)"
SDOT,4th Ave S & S Jackson St,http://www.seattle.gov/trafficcams/images/4_Jackson.jpg,,"(47.59912, -122.32915)"
SDOT,23rd Ave S & S Jackson St - EW,http://www.seattle.gov/trafficcams/images/Jackson_23.jpg,,"(47.59932, -122.30233)"
SDOT,23rd Ave S & S Jackson St - NS,http://www.seattle.gov/trafficcams/images/23_Jackson.jpg,,"(47.59939, -122.30214)"
SDOT,Alaskan Way & S Washington St,http://www.seattle.gov/trafficcams/images/Alaskan_Washington.jpg,http://www.seattle.gov/trafficcams/alaskan_wash.htm,"(47.60013, -122.33583)"
WSDOT,I-5 @ Yesler St,http://images.wsdot.wa.gov/nw/005vc16508.jpg,http://www.seattle.gov/trafficcams/i5_yesler.htm,"(47.60053, -122.32378)"
SDOT,12th Ave S & Boren Ave S,http://www.seattle.gov/trafficcams/images/12_Boren.jpg,,"(47.60081, -122.31711)"
SDOT,5th Ave & James St,http://www.seattle.gov/trafficcams/images/5_James.jpg,,"(47.60381, -122.32912)"
SDOT,9th & James,http://www.seattle.gov/trafficcams/images/9_James.jpg,,"(47.60555, -122.32454)"
SDOT,23rd Ave E & E Cherry St - EW,http://www.seattle.gov/trafficcams/images/ECherry_23.jpg,,"(47.60797, -122.30262)"
SDOT,23rd Ave E & E Cherry St - NS,http://www.seattle.gov/trafficcams/images/23E_Cherry.jpg,,"(47.60812, -122.30268)"
SDOT,Boren & Madison,http://www.seattle.gov/trafficcams/images/Boren_Madison.jpg,http://www.seattle.gov/trafficcams/boren_madison.htm,"(47.60934, -122.32534)"
SDOT,Boren & Seneca,http://www.seattle.gov/trafficcams/images/Boren_Seneca.jpg,,"(47.61064, -122.32645)"
SDOT,2nd & Stewart,http://www.seattle.gov/trafficcams/images/2_Stewart.jpg,,"(47.61094, -122.34027)"
SDOT,SR99 Viaduct & Blanchard St,http://www.seattle.gov/trafficcams/images/SR99_Viaduct.jpg,,"(47.61154, -122.34659)"
SDOT,7th Ave & Pike St,http://www.seattle.gov/trafficcams/images/7_Pike.jpg,http://www.seattle.gov/trafficcams/7th_pike.htm,"(47.61162, -122.33351)"
SDOT,Broadway & E Pike St - NS,http://www.seattle.gov/trafficcams/images/Broadway_EPike.jpg,,"(47.61395, -122.3209)"
SDOT,Broadway & E Pike St - EW,http://www.seattle.gov/trafficcams/images/EPike_Broadway.jpg,,"(47.614, -122.32058)"
SDOT,8th Ave & Howell St,http://www.seattle.gov/trafficcams/images/8_Howell.jpg,http://www.seattle.gov/trafficcams/8thOlive_Howell.htm,"(47.61409, -122.33375)"
WSDOT,I-5 @ Pine St,http://images.wsdot.wa.gov/nw/005vc16607.jpg,http://www.seattle.gov/trafficcams/i5_pine.htm,"(47.61453, -122.32965)"
SDOT,16th Ave E & E Madison St,http://www.seattle.gov/trafficcams/images/16_Madison.jpg,,"(47.61513, -122.31143)"
SDOT,Elliott & Broad,http://www.seattle.gov/trafficcams/images/Elliott_Broad.jpg,,"(47.61547, -122.35417)"
SDOT,Boren & Howell,http://www.seattle.gov/trafficcams/images/Boren_Howell.jpg,,"(47.61614, -122.33159)"
SDOT,"Denny,Stewart,Yale",http://www.seattle.gov/trafficcams/images/Yale_Denny.jpg,,"(47.61843, -122.33091)"
SDOT,Dexter & Denny,http://www.seattle.gov/trafficcams/images/Dexter_Denny.jpg,,"(47.61848, -122.34222)"
SDOT,Denny Way & 4th Ave N,http://www.seattle.gov/trafficcams/images/4_Denny.jpg,,"(47.6185, -122.34876)"
SDOT,1st Ave & Denny Way,http://www.seattle.gov/trafficcams/images/1_Denny.jpg,,"(47.61851, -122.35557)"
SDOT,23rd Ave E & E Madison St - EW,http://www.seattle.gov/trafficcams/images/EMadison_23.jpg,,"(47.61917, -122.30268)"
SDOT,23rd Ave E & E Madison St - NS,http://www.seattle.gov/trafficcams/images/23E_Madison.jpg,,"(47.61939, -122.30244)"
SDOT,Eastlake Ave & Stewart St,http://www.seattle.gov/trafficcams/images/Eastlake_Stewart.jpg,,"(47.61969, -122.32904)"
SDOT,Western & Elliott,http://www.seattle.gov/trafficcams/images/Western_Elliott.jpg,,"(47.62002, -122.3599)"
SDOT,Queen Anne Ave N & Mercer St,http://www.seattle.gov/trafficcams/images/QueenAnne_Mercer.jpg,,"(47.62446, -122.3566)"
SDOT,Aurora Ave N & Mercer St,http://www.seattle.gov/trafficcams/images/aurora_mercer.jpg,http://www.seattle.gov/trafficcams/aurora_mercer.htm,"(47.62451, -122.34356)"
SDOT,Fairview & Mercer,http://www.seattle.gov/trafficcams/images/Fairview_Mercer.jpg,http://www.seattle.gov/trafficcams/fairview_mercer.htm,"(47.62462, -122.33438)"
SDOT,Broadway & E Roy St,http://www.seattle.gov/trafficcams/images/Broadway_Roy.jpg,,"(47.62512, -122.32086)"
WSDOT,I-5 @ Mercer St,http://images.wsdot.wa.gov/nw/005vc16702.jpg,http://www.seattle.gov/trafficcams/i5_mercer.htm,"(47.6256, -122.32849)"
SDOT,Westlake & Broad,http://www.seattle.gov/trafficcams/images/Westlake_Broad.jpg,,"(47.62561, -122.33861)"
SDOT,Fairview & Valley,http://www.seattle.gov/trafficcams/images/Fairview_Valley.jpg,http://www.seattle.gov/trafficcams/fairview_valley.htm,"(47.62621, -122.33426)"
SDOT,Elliott Ave W & W Mercer Pl,http://www.seattle.gov/trafficcams/images/Elliott_Mercer.jpg,,"(47.62649, -122.36836)"
SDOT,Aurora Ave N & Aloha St,http://www.seattle.gov/trafficcams/images/Aurora_Aloha_South.jpg,http://www.seattle.gov/trafficcams/Aurora_aloha.htm,"(47.62661, -122.34367)"
SDOT,Aurora Ave N & Ward St,http://www.seattle.gov/trafficcams/images/Aurora_Ward.jpg,,"(47.62793, -122.34354)"
WSDOT,SR-520 East Highrise,http://images.wsdot.wa.gov/nw/520vc00398.jpg,http://www.seattle.gov/trafficcams/sr520_midspaneast.htm,"(47.63994, -122.25642)"
SDOT,Montlake Blvd E & E Lake Wash Blvd,http://www.seattle.gov/trafficcams/images/Montlake_LakeWash.jpg,http://www.seattle.gov/trafficcams/Montlake_LakeWash.htm,"(47.64387, -122.30412)"
WSDOT,SR-520 @ Montlake Blvd,http://images.wsdot.wa.gov/nw/520vc00093.jpg,http://www.seattle.gov/trafficcams/sr520_montlake.htm,"(47.64394, -122.30519)"
WSDOT,SR-520 @ West Highrise,http://images.wsdot.wa.gov/nw/520vc00241.jpg,http://www.seattle.gov/trafficcams/sr520_midspan.htm,"(47.64476, -122.28833)"
SDOT,4th Ave N & Dexter Ave N,http://www.seattle.gov/trafficcams/images/Westlake_Dexter.jpg,,"(47.64606, -122.34977)"
SDOT,15th Ave W & W Dravus St,http://www.seattle.gov/trafficcams/images/15W_Dravus.jpg,,"(47.64844, -122.3764)"
SDOT,Montlake Blvd NE & NE Pacific St,http://www.seattle.gov/trafficcams/images/Montlake_Pacific.jpg,http://www.seattle.gov/trafficcams/Montlake_Pacific.htm,"(47.64922, -122.30468)"
SDOT,Eastlake Ave E & Harvard Ave E,http://www.seattle.gov/trafficcams/images/Harvard_Eastlake.jpg,,"(47.65044, -122.32204)"
SDOT,Fremont Ave N & N 36th St,http://www.seattle.gov/trafficcams/images/Fremont_36.jpg,,"(47.65143, -122.34988)"
SDOT,Evanston Ave N & N 36th St,http://www.seattle.gov/trafficcams/images/Evanston_36.jpg,,"(47.65154, -122.3513)"
SDOT,15th Ave W & W Emerson St,http://www.seattle.gov/trafficcams/images/15W_Emerson.jpg,,"(47.65408, -122.37612)"
SDOT,Montlake Blvd NE & 25th Ave NE,http://www.seattle.gov/trafficcams/images/Montlake_25.jpg,http://www.seattle.gov/trafficcams/montlake_25th.htm,"(47.6598, -122.30071)"
SDOT,NE 45th St & Union Bay Pl,http://www.seattle.gov/trafficcams/images/NE45_UnionBay.jpg,http://www.seattle.gov/trafficcams/45_Union_Bay.htm,"(47.66131, -122.29531)"
WSDOT,I-5 @ NE 45th St,http://images.wsdot.wa.gov/nw/005vc16939.jpg,,"(47.66133, -122.32215)"
SDOT,Aurora Ave N & N 46th St,http://www.seattle.gov/trafficcams/images/Aurora_46.jpg,,"(47.6617, -122.34743)"
SDOT,15th Ave NW & NW Leary Way,http://www.seattle.gov/trafficcams/images/15NW_Leary.jpg,,"(47.6636, -122.37593)"
SDOT,15th Ave NW & NW Market St - NS,http://www.seattle.gov/trafficcams/images/15NW_Market.jpg,,"(47.66852, -122.37631)"
SDOT,15th Ave NW & NW Market St - EW,http://www.seattle.gov/trafficcams/images/NWMarket_15.jpg,,"(47.6686, -122.37595)"
SDOT,15th Ave NW & NW 65th St - NS,http://www.seattle.gov/trafficcams/images/15NW_65.jpg,,"(47.6759, -122.37621)"
SDOT,15th Ave NW & NW 65th St - EW,http://www.seattle.gov/trafficcams/images/NW65_15.jpg,,"(47.67611, -122.37671)"
SDOT,25th Ave NE & NE 65th St,http://www.seattle.gov/trafficcams/images/25NE_65.jpg,,"(47.67669, -122.30073)"
WSDOT,I-5 @ Lake City Way,http://images.wsdot.wa.gov/nw/005vc17078.jpg,http://www.seattle.gov/trafficcams/i5_lakecityway.htm,"(47.68137, -122.32067)"
SDOT,Roosevelt Way NE & NE 75th St,http://www.seattle.gov/trafficcams/images/Roosevelt_75.jpg,,"(47.6825, -122.31757)"
SDOT,Aurora Ave N & Winona Ave N,http://www.seattle.gov/trafficcams/images/aurora_winona.jpg,http://www.seattle.gov/trafficcams/aurora_winona.htm,"(47.68294, -122.34439)"
SDOT,LCW & 15th Ave NE - EW,http://www.seattle.gov/trafficcams/images/15_LCW.jpg,,"(47.68658, -122.31221)"
SDOT,LCW & 15th Ave NE - NS,http://www.seattle.gov/trafficcams/images/LCW_15.jpg,http://www.seattle.gov/trafficcams/lakecity_15th.htm,"(47.68835, -122.31085)"
SDOT,15th Ave NW & NW 85th St,http://www.seattle.gov/trafficcams/images/15NW_85.jpg,,"(47.6905, -122.3769)"
WSDOT,I-5 @ NE 85th st,http://images.wsdot.wa.gov/nw/005vc17153.jpg,http://www.seattle.gov/trafficcams/i5_85th.htm,"(47.6905, -122.32895)"
SDOT,Aurora Ave N & N 85th St,http://www.seattle.gov/trafficcams/images/aurora_85th.jpg,http://www.seattle.gov/trafficcams/aurora_85th.htm,"(47.69051, -122.34638)"
SDOT,Aurora Ave N & N 87th St,http://www.seattle.gov/trafficcams/images/aurora_87th.jpg,http://www.seattle.gov/trafficcams/aurora_87th.htm,"(47.69195, -122.34463)"
SDOT,Aurora Ave N & N 90th St,http://www.seattle.gov/trafficcams/images/Aurora_90.jpg,,"(47.69428, -122.34447)"
SDOT,Aurora Ave N & N 103rd St,http://www.seattle.gov/trafficcams/images/aurora_103rd.jpg,http://www.seattle.gov/trafficcams/aurora_103rd.htm,"(47.70294, -122.34458)"
SDOT,Aurora Ave N & N 105th St,http://www.seattle.gov/trafficcams/images/aurora_105th.jpg,http://www.seattle.gov/trafficcams/aurora_105th.htm,"(47.70499, -122.34426)"
WSDOT,I-5 @ Northgate Way,http://images.wsdot.wa.gov/nw/005vc17277.jpg,http://www.seattle.gov/trafficcams/i5_northgate.htm,"(47.70592, -122.33001)"
SDOT,5th Ave NE & NE Northgate Way,http://www.seattle.gov/trafficcams/images/northgate_5thb.jpg,http://www.seattle.gov/trafficcams/northgate_5thb.htm,"(47.70775, -122.3233)"
SDOT,5th Ave NE & NE Northgate Way,http://www.seattle.gov/trafficcams/images/northgate_5tha.jpg,http://www.seattle.gov/trafficcams/northgate_5tha.htm,"(47.70867, -122.32476)"
SDOT,1st Ave NE & NE Northgate Way,http://www.seattle.gov/trafficcams/images/1_Northgate.jpg,http://www.seattle.gov/trafficcams/northgate_1st.htm,"(47.70886, -122.32876)"
SDOT,Aurora Ave N & N 117 Pl,http://www.seattle.gov/trafficcams/images/Aurora_117.jpg,,"(47.71467, -122.34476)"
SDOT,LCW & NE 125th St - NS,http://www.seattle.gov/trafficcams/images/LCW_125.jpg,http://www.seattle.gov/trafficcams/lakecity_125th.htm,"(47.71848, -122.29561)"
SDOT,LCW & NE 125th St - EW,http://www.seattle.gov/trafficcams/images/125_LCW.jpg,http://www.seattle.gov/trafficcams/125th_lakecity.htm,"(47.71933, -122.29404)"
SDOT,Aurora Ave N & N 130th St - NS,http://www.seattle.gov/trafficcams/images/aurora_130thb.jpg,http://www.seattle.gov/trafficcams/aurora_130thb.htm,"(47.72293, -122.34507)"
SDOT,Aurora Ave N & N 130th St - EW,http://www.seattle.gov/trafficcams/images/aurora_130tha.jpg,http://www.seattle.gov/trafficcams/aurora_130tha.htm,"(47.72328, -122.34683)"
SDOT,LCW & NE 145th St - NS,http://www.seattle.gov/trafficcams/images/LCW_145.jpg,http://www.seattle.gov/trafficcams/lakecity_145th.htm,"(47.73215, -122.29229)"
SDOT,Aurora Ave N & N 145th St - NS,http://www.seattle.gov/trafficcams/images/aurora_145tha.jpg,http://www.seattle.gov/trafficcams/aurora_145tha.htm,"(47.73341, -122.34518)"
SDOT,LCW & NE 145th St - EW,http://www.seattle.gov/trafficcams/images/145_LCW.jpg,http://www.seattle.gov/trafficcams/145th_lakecity.htm,"(47.73383, -122.29159)"
WSDOT,I-5 @ NE 145th St,http://images.wsdot.wa.gov/nw/005vc17461.jpg,http://www.seattle.gov/trafficcams/I5_145th.htm,"(47.73405, -122.3228)"
SDOT,Aurora Ave N & N 145th St - EW,http://www.seattle.gov/trafficcams/images/aurora_145thb.jpg,http://www.seattle.gov/trafficcams/aurora_145thb.htm,"(47.73407, -122.34487)"
